,CompoundName,SMILES,caymanID,casID,Formula
7658,Bithionol ,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,21844, 97-18-7 ,C12H6Cl4O2S
7659,N-benzyl-4-Piperidone  ,O=C1CCN(Cc2ccccc2)CC1,21962,3612-20-2 ,C12H15NO
7660,Compound C108  ,C/C(=N\NC(=O)c1ccccc1O)c1ccccc1O,9002951,15533-09-2 ,C15H14N2O3
7661,25H-NBOH (hydrochloride) ,COc1ccc(OC)c(CCNCc2ccccc2O)c1.Cl,22033,2595087-21-9,C17H22ClNO3
7662,"1,3-Dimethylbutylamine (hydrochloride)  ",CC(C)CC(C)N.Cl,21928,71776-70-0 ,C6H16ClN
7663,UBP 310  ,Cc1cn(C[C@H](N)C(=O)O)c(=O)n(Cc2ccsc2C(=O)O)c1=O,21806,902464-46-4 ,C14H15N3O6S
7664,(+)-Limonene ,C=C(C)[C@H]1CC=C(C)CC1,21719,5989-27-5 ,C10H16
7665,Manzamine A ,O[C@]12C=C(c3nccc4c3[nH]c3ccccc34)[C@@H]3CC[N@@](CCCC/C=C/CC1)C[C@@]31C[C@@H]3/C=C\CCCCN3[C@H]12,21444,104196-68-1 ,C36H44N4O
7666,(+)-Aeroplysinin-1 ,COC1=C(Br)[C@H](O)[C@](O)(CC#N)C=C1Br,21498,28656-91-9 ,C9H9Br2NO3
7667,ortho-Fluoroisobutyryl fentanyl (hydrochloride) ,CC(C)C(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1.Cl,20207,2748591-21-9,C23H30ClFN2O
7668,dBET1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCNC(=O)COc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,18044,1799711-21-9,C38H37ClN8O7S
7669,1-(3-Fluorophenyl)piperazine (hydrochloride) ,Cl.Cl.Fc1cccc(N2CCNCC2)c1,21953,76835-10-4 ,C10H15Cl2FN2
7670,1-(o-Fluorophenyl)piperazine (hydrochloride) ,Cl.Cl.Fc1ccccc1N1CCNCC1,21954,76835-09-1 ,C10H15Cl2FN2
7671,BAY 1217389 ,COc1ccc(Oc2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F,21660,1554458-53-5 ,C27H24F5N5O3
7672,Taurocholic Acid-d4 (sodium salt) ,[2H]C1([2H])C[C@@]2(C)[C@H](C[C@@H](O)[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O-])CC[C@@H]32)C([2H])([2H])[C@@H]1O.[Na+],21891,2410279-93-3,C26H44NNaO7S
7673,Ursodeoxycholic Acid-d4 ,[2H]C1([2H])C[C@@]2(C)[C@H](C[C@H](O)[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,21892,347841-46-7 ,C24H40O4
7674,Taurochenodeoxycholic Acid-d4 (sodium salt) ,[2H]C1([2H])C[C@@]2(C)[C@H](C[C@@H](O)[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)CCC(=O)NCCS(=O)(=O)[O-])CC[C@@H]32)C([2H])([2H])[C@@H]1O.[Na+],21905,2410279-85-3,C26H44NNaO6S
7675,Androstenedione ,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,9001311,63-05-8 ,C19H26O2
7676,Thiamine Pyrophosphate (chloride) ,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1.[Cl-],20254,154-87-0 ,C12H19ClN4O7P2S
7677,Phytosphingosine (yeast),CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H](N)CO,20217,554-62-1 ,C18H39NO3
7678,Remogliflozin A ,Cc1c(Cc2ccc(OC(C)C)cc2)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)nn1C(C)C,14340,329045-45-6 ,C23H34N2O7
7679,Hinokitiol ,CC(C)c1cccc(=O)c(O)c1,17538,499-44-5 ,C10H12O2
7680,?-Pyrrolidinopentiophenone-d8 (hydrochloride) (CRM) ,Cl.[2H]C1([2H])N(C(CCC)C(=O)c2ccccc2)C([2H])([2H])C([2H])([2H])C1([2H])[2H],19204, 1781744-06-6 ,C15H22ClNO
7681,MDL 11939  ,OC(c1ccccc1)C1CCN(CCc2ccccc2)CC1,21414,107703-78-6 ,C20H25NO
7682,Aminopurvalanol A ,CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,21424,220792-57-4 ,C19H26ClN7O
7683,R-59-949,O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,21221,120166-69-0 ,C28H25F2N3OS
7684,SR 202 ,COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC,21846,76541-72-5 ,C11H17ClO7P2
7685,P1075 ,CCC(C)(C)/N=C(\NC#N)Nc1cccnc1,21849,60559-98-0 ,C12H17N5
7686,Taurohyodeoxycholic Acid (sodium salt),C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.[Na+],21956,38411-85-7,C26H44NNaO6S
7687,LM11A-31 (hydrochloride) ,CC[C@H](C)[C@H](N)C(=O)NCCN1CCOCC1.Cl.Cl,21982,1243259-19-9 ,C12H27Cl2N3O2
7688,CCR4 Antagonist (hydrochloride),COc1cc2nc(N3CCC(N4CCCCC4)CC3)nc(NC3CCCCCC3)c2cc1OC.Cl.Cl,21885,1784252-84-1,C27H43Cl2N5O2
7689,CGS 15943 ,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,22073,104615-18-1 ,C13H8ClN5O
7690,VU0360172 (hydrochloride) ,Cl.O=C(NC1CCC1)c1ccc(C#Cc2cccc(F)c2)nc1,22074,1309976-62-2  ,C18H16ClFN2O
7691,Cerdulatinib,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,20076,1198300-79-6,C20H27N7O3S
7692,ortho-fluoro Acrylfentanyl (hydrochloride) ,C=CC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1.Cl,21932,2309383-10-4,C22H26ClFN2O
7693,Chloral hydrate ,OC(O)C(Cl)(Cl)Cl,21843,302-17-0 ,C2H3Cl3O2
7694,L-Carnitine ,C[N+](C)(C)C[C@H](O)CC(=O)[O-],21489,541-15-1 ,C7H15NO3
7695,Reparixin (L-Lysine salt) ,CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1.NCCCC[C@H](N)C(=O)O,21492,266359-93-7 ,C20H35N3O5S
7696,9(R)-PAHSA ,CCCCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCC)CCCCCCCC(=O)O,18022,2097130-84-0,C34H66O4
7697,CUMYL-PICA N-pentanoic acid metabolite ,CC(C)(NC(=O)c1cn(CCCCC(=O)O)c2ccccc12)c1ccccc1,20232,2748623-20-1,C23H26N2O3
7698,Procaine (hydrochloride)  ,CCN(CC)CCOC(=O)c1ccc(N)cc1.Cl,20093,51-05-8 ,C13H21ClN2O2
7699,5-fluoro ADB metabolite 7 ,CC(C)(C)[C@H](NC(=O)c1nn(CCCCCF)c2ccccc12)C(=O)O,20178,2365471-39-0,C19H26FN3O3
7700,API-1 ,NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c2c1=O,22081,36707-00-3 ,C13H15N5O6
7701,LM22A-4 ,O=C(NCCO)c1cc(C(=O)NCCO)cc(C(=O)NCCO)c1,22082,37988-18-4 ,C15H21N3O6
7702,XMU-MP-1 ,CN1C(=O)c2sccc2N(C)c2nc(Nc3ccc(S(N)(=O)=O)cc3)ncc21,22083,2061980-01-4 ,C17H16N6O3S2
7703,Hyocholic Acid ,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)[C@H](O)[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,20293,547-75-1 ,C24H40O5
7704,NNC 55-0396 ,CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1.Cl.Cl,17216,357400-13-6 ,C30H40Cl2FN3O2
7705,LP99 ,Cc1cc(=O)n(C)c2cc(N3C(=O)CC[C@H](NS(=O)(=O)CC(C)C)[C@H]3c3ccc(Cl)cc3)ccc12,17661,1808951-93-0 ,C26H30ClN3O4S
7706,N-Formyl-Met-Leu-Phe ,CSCC[C@H](NC=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,21495,59880-97-6 ,C21H31N3O5S
7707,Boldenone Undecylenate ,C=CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,21632,13103-34-9 ,C30H44O3
7708,Ibandronate (sodium hydrate) ,CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.O.[Na+],21361,138926-19-9 ,C9H24NNaO8P2
7709,Diclofenac amide ,O=C1Cc2ccccc2N1c1c(Cl)cccc1Cl,21969,15362-40-0 ,C14H9Cl2NO
7710,KR-33493,O=C(CSc1ccc(Br)cc1)Nc1cn(CCc2ccccc2)nc1C(=O)O,22071,1021497-97-1 ,C20H18BrN3O3S
7711,5-fluoro MDMB-PICA metabolite 7 ,CC(C)(C)[C@H](NC(=O)c1cn(CCCCCF)c2ccccc12)C(=O)O,22095,2569223-22-7,C20H27FN2O3
7712,Cisapride ,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCN(CCCOc2ccc(F)cc2)C[C@@H]1OC,21657,81098-60-4 ,C23H29ClFN3O4
7713,Rizatriptan (benzoate salt) ,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12.O=C(O)c1ccccc1,16475,145202-66-0 ,C22H25N5O2
7714,AGL 2263 ,N#C/C(=C\c1ccc2oc(=O)[nH]c2c1)C(=O)c1ccc(O)c(O)c1,21776,638213-98-6 ,C17H10N2O5
7715,ST034307 ,O=c1cc(C(Cl)(Cl)Cl)oc2ccc(Cl)cc12,21777,133406-29-8 ,C10H4Cl4O2
7716,6-hydroxy Bexarotene ,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)C(O)CC2(C)C,22098,368451-07-4 ,C24H28O3
7717,LSN2463359 ,CC(C)NC(=O)c1ccc(C#Cc2ccncc2)cn1,22104,1401031-52-4 ,C16H15N3O
7718,Diclofenac ethyl ester ,CCOC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,22105,15307-77-4 ,C16H15Cl2NO2
7719,DCPG ,N[C@H](C(=O)O)c1ccc(C(=O)O)c(C(=O)O)c1,22072,201730-11-2 ,C10H9NO6
7720,3-Acetylpyridine NAD ,CC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,21884,86-08-8 ,C22H28N6O14P2
7721,MMP-8 Inhibitor I ,COc1ccc(S(=O)(=O)N2Cc3ccccc3C[C@@H]2C(=O)NO)cc1,21852,236403-25-1 ,C17H18N2O5S
7722,Ipsapirone (hydrochloride),Cl.O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,22075,92589-98-5,C19H24ClN5O3S
7723,PG-01037 (hydrochloride) ,Cl.Cl.O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1,22079,675599-62-9 ,C26H28Cl4N4O
7724,NXY-059 ,CC(C)(C)/[N+]([O-])=C/c1ccc(S(=O)(=O)[O-])cc1S(=O)(=O)[O-].[Na+].[Na+],22109,168021-79-2 ,C11H13NNa2O7S2
7725,4?8C ,Cc1cc(=O)oc2c(C=O)c(O)ccc12,22110,14003-96-4 ,C11H8O4
7726,PF-01247324 ,CNC(=O)c1ccc(-c2cc(Cl)cc(Cl)c2Cl)c(N)n1,22111,875051-72-2 ,C13H10Cl3N3O
7727,K858 ,CC(=O)NC1=NN(C(C)=O)C(C)(c2ccccc2)S1,22112,72926-24-0 ,C13H15N3O2S
7728,SSR 128129E ,COc1c(C)c(C(=O)c2ccc(N)c(C(=O)[O-])c2)n2ccccc12.[Na+],22128,848318-25-2 ,C18H15N2NaO4
7729,TUG-770  ,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,22131,1402601-82-4 ,C19H14FNO2
7730,iCRT14 ,Cc1cc(/C=C2\SC(=O)N(c3ccccc3)C2=O)c(C)n1-c1cccnc1,22132,677331-12-3 ,C21H17N3O2S
7731,4-Nitrophenyl ?-D-Cellotetraoside ,O=[N+]([O-])c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,21406,129411-62-7 ,C30H45NO23
7732,Importazole ,CC(Nc1nc(N2CCCC2)nc2ccccc12)c1ccccc1,21491,662163-81-7 ,C20H22N4
7733,L-DOPA-d3 ,[2H]c1c([2H])c(C[C@H](N)C(=O)O)c([2H])c(O)c1O,22089,53587-29-4 ,C9H11NO4
7734,Psoromic Acid,COc1cc(C(=O)O)c2c(c1C)OC(=O)c1c(C)cc(O)c(C=O)c1O2,22168,7299-11-8,C18H14O8
7735,Adipostatin A,CCCCCCCCCCCCCCCc1cc(O)cc(O)c1,22163,3158-56-3,C21H36O2
7736,?-hydroxy Alprazolam,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,15287,37115-43-8,C17H13ClN4O
7737,PF-05175157,Cc1nc2ccc(C(=O)N3CCC4(CC3)CC(=O)c3c(cnn3C(C)C)C4)cc2[nH]1,21778,1301214-47-0,C23H27N5O2
7738,MG 149 ,CCCCCCCc1ccc(CCc2cccc(O)c2C(=O)O)cc1,22135,1243583-85-8 ,C22H28O3
7739,MPI-0479605 ,Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCCCC2)c2[nH]cnc2n1,22136,1246529-32-7 ,C22H29N7O
7740,Ro 3280 ,COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CC(F)(F)C(=O)N2C,21669,1062243-51-9 ,C27H35F2N7O3
7741,Cerdulatinib ,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,20076,1198300-79-6 ,C20H27N7O3S
7742, Steviol ,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@]1(O)C3,10011344,471-80-7 ,C20H30O3
7743,5-hydroxy Omeprazole ,COc1ccc2[nH]c(S(=O)Cc3ncc(CO)c(OC)c3C)nc2c1,10009028,92340-57-3 ,C17H19N3O4S
7744,RAD51 Inhibitor B02 ,O=c1c2ccccc2nc(/C=C/c2cccnc2)n1Cc1ccccc1,22133,1290541-46-6 ,C22H17N3O
7745,Aceclofenac ethyl ester ,CCOC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,22115,139272-67-6 ,C18H17Cl2NO4
7746,Aceclofenac methyl ester ,COC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,22121,139272-66-5 ,C17H15Cl2NO4
7748,LY2606368 ,COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1,21490,1234015-52-1 ,C18H19N7O2
7749,Salvinorin B Mesylate ,COC(=O)[C@@H]1C[C@H](OS(C)(=O)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C,22244,862073-79-8 ,C22H28O9S
7750,BAY 57-1293 ,Cc1nc(N(C)C(=O)Cc2ccc(-c3ccccn3)cc2)sc1S(N)(=O)=O,22129,348086-71-5 ,C18H18N4O3S2
7751,3-Fluorofentanyl (hydrochloride) ,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1F.Cl,21952,2309383-04-6,C22H28ClFN2O
7752,Rapamycin-d3  ,[2H]C([2H])([2H])O[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,22093,392711-19-2 ,C51H79NO13
7753,MK-0557 ,O=C1O[C@]2(CC[C@H](C(=O)Nc3ccn(-c4ccccc4F)n3)CC2)c2cnccc21,22134,328232-95-7 ,C22H19FN4O3
7754,Illudin M ,CC1=C2C(=CC(C)(C)[C@@H]2O)C(=O)[C@](C)(O)C12CC2,22062,1146-04-9 ,C15H20O3
7755,Spirolaxine ,COc1cc(O)cc2c1C(=O)O[C@@H]2CCCCC[C@@H]1CCC[C@]2(CC[C@@H](C)O2)O1,22063,126382-01-2 ,C23H32O6
7756,Nepicastat (hydrochloride) ,Cl.NCc1c[nH]c(=S)n1[C@H]1CCc2c(F)cc(F)cc2C1,22126,170151-24-3 ,C14H16ClF2N3S
7757,CPI-455 ,CC(C)c1c(-c2ccccc2)[nH]c2c(C#N)cnn2c1=O,22127,1628208-23-0 ,C16H14N4O
7758,Compound 401 ,O=c1cc(N2CCOCC2)nc2c3ccccc3ccn12,21769,168425-64-7 ,C16H15N3O2
7759,"CP 547,632 ",NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1,21773,252003-65-9 ,C20H24BrF2N5O3S
7760,ML-364 ,Cc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,21774,1991986-30-1 ,C24H18F3N3O3S2
7761,Sulfadoxin ,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,21488,2447-57-6 ,C12H14N4O4S
7762,Drostanolone ,C[C@@H]1C[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]32)CC1=O,21170,58-19-5 ,C20H32O2
7763,APS-2-79 (hydrochloride)  ,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3C)c2cc1OC.Cl,22137,2002381-31-7 ,C23H22ClN3O3
7764,G-749  ,CN1CCC(Nc2nc(Nc3ccc(Oc4ccccc4)cc3)c3c(=O)[nH]cc(Br)c3n2)CC1,22139,1457983-28-6 ,C25H25BrN6O2
7765,CB-839 ,O=C(Cc1cccc(OC(F)(F)F)c1)Nc1ccc(CCCCc2nnc(NC(=O)Cc3ccccn3)s2)nn1,22038,1439399-58-2 ,C26H24F3N7O3S
7766,AM966 ,Cc1noc(-c2ccc(-c3ccc(CC(=O)O)cc3)cc2)c1NC(=O)O[C@H](C)c1ccccc1Cl,22048,1228690-19-4 ,C27H23ClN2O5
7767,Isochlortetracycline ,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C[C@@H]([C@]3(C)OC(=O)c4c(O)ccc(Cl)c43)C[C@@H]12,22125,514-53-4 ,C22H23ClN2O8
7768,T5601640 ,Cc1cc(C(=O)Nc2cccc(C(=O)Nc3cccc(C(F)(F)F)c3)c2)on1,22140,924473-59-6 ,C19H14F3N3O3
7769,NVP-BGT226 ,COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)c(=O)n4C)cn1.O=C(O)/C=C\C(=O)O,22142,1245537-68-1 ,C32H29F3N6O6
7770,LY379268 ,N[C@@]1(C(=O)O)CO[C@H]2[C@H](C(=O)O)[C@H]21,15351, 191471-52-0 ,C7H9NO5
7771,Astragaloside IV ,CC(C)(O)[C@@H]1CC[C@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]5C(C)(C)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)O1,12069,84687-43-4 ,C41H68O14
7772,Cannabicitran (CRM) ,CCCCCc1cc2c3c(c1)OC(C)(C)C1CCC(C)(CC31)O2,21295,31508-71-1 ,C21H30O2
7773,4-oxo-Docosahexaenoic Acid ,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C=C\C(=O)CCC(=O)O,21373,845673-74-7 ,C22H30O3
7774,DG-051 ,Cl.O=C(O)CCCN1CCC[C@H]1COc1ccc(Oc2ccc(Cl)cc2)cc1,21688,929915-58-2 ,C21H25Cl2NO4
7775,?-Pinene,CC1=CCC2CC1C2(C)C,21576,80-56-8 ,C10H16
7776,Golvatinib ,CN1CCN(C2CCN(C(=O)Nc3cc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)c(F)c4)ccn3)CC2)CC1,22143,928037-13-2 ,C33H37F2N7O4
7777,Simeprevir (sodium salt),COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,22144,1241946-89-3,C38H47N5O7S2
7778,BEC (hydrochloride) ,Cl.N[C@@H](CSCCB(O)O)C(=O)O,22145,222638-67-7 ,C5H13BClNO4S
7779,(2'S)-Nicotine-1-oxide ,CN1CCC[C@H]1c1ccc[n+]([O-])c1,22153,2820-55-5 ,C10H14N2O
7780,4-Piperidone (hydrochloride hydrate) ,Cl.OC1(O)CCNCC1,21961,40064-34-4,C5H12ClNO2
7781,"3,4-Dimethylpyrazole (phosphate)  ",Cc1c[nH]nc1C.O=P(O)(O)O,21887,202842-98-6 ,C5H11N2O4P
7782,Pantoprazole sulfone  ,COc1ccnc(CS(=O)(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,22252,127780-16-9 ,C16H15F2N3O5S
7783,Glucagon Receptor Antagonist 4 ,CCC[C@H](Oc1cc(C)c(-n2cc(C(F)(F)F)cn2)c(C)c1)c1ccc(C(=O)NCCC(=O)O)cc1,22164,1393124-08-7 ,C26H28F3N3O4
7784,Psoromic Acid ,COc1cc(C(=O)O)c2c(c1C)OC(=O)c1c(C)cc(O)c(C=O)c1O2,22168,7299-11-8  ,C18H14O8
7785,Temocaprilat ,O=C(O)CN1C[C@@H](c2cccs2)SC[C@H](N[C@@H](CCc2ccccc2)C(=O)O)C1=O,22169,110221-53-9 ,C21H24N2O5S2
7786,TH-302 ,Cn1c(COP(=O)(NCCBr)NCCBr)cnc1[N+](=O)[O-],22195,918633-87-1 ,C9H16Br2N5O4P
7787,CTX-0294885 ,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCNCC3)cc2)ncc1Cl,22197,1439934-41-4 ,C22H24ClN7O
7788,SB-742457 ,O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1,22200,607742-69-8 ,C19H19N3O2S
7789,KS-176 ,O=C(Nc1ccccc1C(=O)Nc1ccc(CCO)cc1)c1ccc([N+](=O)[O-])cc1,22201,1253452-78-6 ,C22H19N3O5
7790,FRAX597 ,CCn1c(=O)c(-c2ccc(-c3cncs3)cc2Cl)cc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,22205,1286739-19-2 ,C29H28ClN7OS
7791,LY2090314 ,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,22211,603288-22-8 ,C28H25FN6O3
7792,Salvinorin A Propionate ,CCC(=O)O[C@H]1C[C@@H](C(=O)OC)[C@]2(C)CC[C@H]3C(=O)O[C@H](c4ccoc4)C[C@]3(C)[C@H]2C1=O,22290,689295-71-4 ,C24H30O8
7793,Syringin  ,COc1cc(/C=C/CO)cc(OC)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,22387,118-34-3 ,C17H24O9
7794,Procyanidin B1 ,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,22411,20315-25-7 ,C30H26O12
7795,11-oxo MGV ,C[C@H](CC[C@@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,22416,126105-11-1 ,C60H100O29
7796,Cyclohexyl fentanyl-d5 (hydrochloride) ,Cl.[2H]c1c([2H])c([2H])c(N(C(=O)C2CCCCC2)C2CCN(CCc3ccccc3)CC2)c([2H])c1[2H],22454,2747915-25-7,C26H35ClN2O
7797,5'-hydroxy Meloxicam ,CN1C(C(=O)Nc2ncc(CO)s2)=C(O)c2ccccc2S1(=O)=O,22159,130262-92-9 ,C14H13N3O5S2
7798,Adipostatin A ,CCCCCCCCCCCCCCCc1cc(O)cc(O)c1,22163,3158-56-3 ,C21H36O2
7800,Emricasan,C[C@H](NC(=O)C(=O)Nc1ccccc1C(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)COc1c(F)c(F)cc(F)c1F,22204,254750-02-2,C26H27F4N3O7
7801,BMS 470539 (hydrochloride),CCCC(=O)C1(c2ccccc2)CCN(C(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@@H](N)Cc2cncn2C)CC1.Cl.Cl,22231,2341796-82-3,C32H43Cl2N5O4
7802,TRX-818 (sodium salt),COc1ccc2[nH]c(-c3cccc(F)c3)cc(=O)c2c1OP(=O)([O-])[O-].[Na+].[Na+],22209,1256037-62-3,C16H11FNNa2O6P
7803,CHIR090,C[C@@H](O)[C@H](NC(=O)c1ccc(C#Cc2ccc(CN3CCOCC3)cc2)cc1)C(=O)NO,22256,728865-23-4,C24H27N3O5
7804,Cyclohexyl fentanyl (hydrochloride),Cl.O=C(C1CCCCC1)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,22390,2309383-14-8,C26H35ClN2O
7805,"3,5-Diiodothyroacetic Acid",O=C(O)Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1,22108,1155-40-4,C14H10I2O4
7806,KX1-004,O=C(NCc1cccc(O)c1)c1cc2cc(F)ccc2[nH]1,22198,518058-84-9,C16H13FN2O2
7807,PBTZ169,O=c1nc(N2CCN(CC3CCCCC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,22202,1377239-83-2,C20H23F3N4O3S
7808,VU0357121,CCCCOc1ccc(C(=O)Nc2ccc(F)cc2F)cc1,22199,433967-28-3,C17H17F2NO2
